configuration,top_k,avg_input_tokens,token_reduction_pct,p50_ms,p95_ms,p99_ms,r_max_rpm,scalability_gain,correctness,faithfulness,hallucination_rate,tei
Baseline Long Context,53,263900.0,0.0,7248.77,8321.26,8456.21,15.2,1.0,0.812,0.8106,0.1894,3.79
Selective Retrieval (k=3),3,1364.5,99.48,3079.6,15760.93,17771.3,2931.5,192.9,0.4,0.9317,0.0683,21.23
Selective Retrieval (k=5),5,1996.6,99.24,3564.56,17706.56,21246.05,2003.4,131.8,0.4333,0.9317,0.0683,14.88
Selective Retrieval (k=10),10,3542.7,98.66,4484.61,15283.57,17923.58,1129.1,74.3,0.4445,0.9317,0.0683,26.16
